AÑO,CBML,CLASE_ACCIDENTE,DIRECCION,DIRECCION ENCASILLADA,DISEÑO,EXPEDIENTE,FECHA_ACCIDENTE,FECHA_ACCIDENTES,GRAVEDAD_ACCIDENTE,MES,NRO_RADICADO,NUMCOMUNA,BARRIO,COMUNA,LOCATION,X,Y
2016,1506,Choque,CR 70 CL 9,CR  070   009  000 00000,Tramo de via,A000483548,20/10/2016 15:00:00,2016-10-20T20:00:00.000Z,Solo daños,10,1555952,15,Parque Juan Pablo II,Guayabal,"[-75.5931660461, 6.21622760273]",832243.92,1179389.72
2016,0307,Choque,CL 71 CR 41,CL  071   041  000 00000,Interseccion,A000483620,20/10/2016 18:30:00,2016-10-20T23:30:00.000Z,Solo daños,10,1555995,03,Manrique Central No. 2,Manrique,"[-75.5512240168, 6.2660054138]",836902.57,1184883.19
2016,0705,Choque,CL 65 CR 80,CL  065   080  000 00000,Tramo de via,A000483632,20/10/2016 19:05:00,2016-10-21T00:05:00.000Z,Solo daños,10,1555987,07,Facultad de Minas U. Nacional,Robledo,"[-75.593200915, 6.27332529945]",832258.24,1185706.19
2016,0710,Choque,CL 84 CR 74,CL  084   074  000 00000,Tramo de via,A000483810,20/10/2016 19:40:00,2016-10-21T00:40:00.000Z,Solo daños,10,1556201,07,López de Mesa,Robledo,"[-75.5801430866, 6.28363835592]",833706.95,1186842.91
2016,1414,Choque,CR 43 A CL 12 Sur,CR  043 A  S 012  000 00000,Interseccion,A000483534,21/10/2016 05:25:00,2016-10-21T10:25:00.000Z,Con heridos,10,1556077,14,El Castillo,El Poblado,"[-75.5762933259, 6.19309168778]",834104.61,1176825
2016,1117,Choque,CR 75 CL 44 A,CR  075   044 A  000 00000,Glorieta,A000483536,21/10/2016 06:00:00,2016-10-21T11:00:00.000Z,Con heridos,10,1556140,11,Florida Nueva,Laureles Estadio,"[-75.5943526521, 6.25051612037]",832123.46,1183183.28
2016,1606,Choque,CL 9 CR 76,CL  009   076  000 00000,Tramo de via,A000483817,21/10/2016 15:30:00,2016-10-21T20:30:00.000Z,Solo daños,10,1556178,16,Las Playas,Belén,"[-75.5989137153, 6.21933948048]",831608.6,1179735.8
2016,1001,Choque,CR 48 CL 58,CR  048   058  000 00000,Interseccion,A000483643,22/10/2016 02:25:00,2016-10-22T07:25:00.000Z,Con heridos,10,1556103,10,Prado,La Candelaria,"[-75.5629178277, 6.25509829587]",835604.71,1183680.25
2016,1504,Choque,TV 22 CL 65,TV  022   065  000 00000,Tramo de via,A000483645,22/10/2016 05:30:00,2016-10-22T10:30:00.000Z,Con heridos,10,1556163,15,Santa Fé,Guayabal,"[-75.5839696167, 6.22444192046]",833264.62,1180295.52
2016,0725,Choque,CR 64 C CL 59,CR  064 C   059  000 00000,Tramo de via,A000483647,22/10/2016 06:00:00,2016-10-22T11:00:00.000Z,Con heridos,10,1556096,07,Nueva Villa de la Iguaná,Robledo,"[-75.5799159251, 6.25945521261]",833724.43,1184167.58
